0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.3,400,1250,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,8.65,0.27,4.5,11.3
1.2,400,1250,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,9.8,0.38,4.91,12.1
1.1,400,1250,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,11.2,0.48,5.39,12.7
1,400,1250,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,12.95,0.59,5.96,13.4
0.9,400,1250,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,15.16,0.7,6.65,13.9
1.3,400,1500,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,8.12,0.48,4.15,13.2
1.2,400,1500,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,9.22,0.59,4.54,13.7
1.1,400,1500,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,10.57,0.7,5,14.3
1,400,1500,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,12.26,0.81,5.55,14.8
0.9,400,1500,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,14.4,0.92,6.22,15.4
1.3,400,1750,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1.2,400,1750,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1.1,400,1750,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1,400,1750,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
0.9,400,1750,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1.3,400,2000,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1.2,400,2000,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1.1,400,2000,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1,400,2000,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
0.9,400,2000,0.1,10,10,50,22,8,6,2,20,4,2,3000,20,-,-,-,-
1.3,400,1250,0.1,10,10,50,20,8,6,2,20,4,2,3000,20,8.65,0.27,4.5,11.3
